Year,GDP,GDP per Capita ,Growth
22,996.1,69288.0,5.67
20,893.74,63028.0,-3.4
21,372.57,65095.0,2.29
20,527.16,62805.0,2.92
19,479.62,59915.0,2.26
18,695.11,57867.0,1.67
18,206.02,56763.0,2.71
17,550.68,55124.0,2.29
16,843.19,53291.0,1.84
16,253.97,51784.0,2.28
15,599.73,50066.0,1.55
15,48.96,48651.0,2.71
14,478.06,47195.0,-2.6
14,769.86,48570.0,0.12
14,474.23,48050.0,2.01
13,815.59,46302.0,2.78
13,39.2,44123.0,3.48
12,217.19,41725.0,3.85
11,456.44,39490.0,2.8
10,929.11,37998.0,1.7
10,581.93,37134.0,0.95
10,250.95,36330.0,4.08
9,631.17,34515.0,4.79
9,62.82,32854.0,4.48
8,577.55,31459.0,4.45
8,73.12,29968.0,3.77
7,639.75,28691.0,2.68
7,287.24,27695.0,4.03
6,858.56,26387.0,2.75
6,520.33,25419.0,3.52
6,158.13,24342.0,-0.11
5,963.14,23889.0,1.89
5,641.58,22857.0,3.67
5,236.44,21417.0,4.18
4,855.22,20039.0,3.46
4,579.63,19071.0,3.46
4,338.98,18237.0,4.17
4,37.61,17121.0,7.24
3,634.04,15544.0,4.58
3,343.79,14434.0,-1.8
3,207.04,13976.0,2.54
2,857.31,12575.0,-0.26
2,627.33,11674.0,3.17
2,351.6,10565.0,5.54
2,81.83,9453.0,4.62
1,873.41,8592.0,5.39
1,684.9,7801.0,-0.21
1,545.24,7226.0,-0.54
1,425.38,6726.0,5.65
1,279.11,6094.0,5.26
1,164.85,5609.0,3.29
1,73.3,5234.0,-0.28
1,19.9,5032.0,3.1
